time,open,high,low,close,volume,vc,dif,dea,hist,atr
2020-05-18 07:02:00,9850.1,9851.9,9834.5,9839.1,1962.0,19.62,,,,
2020-05-18 07:03:00,9839.1,9839.1,9825.0,9834.3,4536.0,45.36,,,,
2020-05-18 07:04:00,9834.3,9850.1,9834.3,9842.6,5138.0,51.38,,,,
2020-05-18 07:05:00,9843.1,9853.0,9843.1,9845.0,1590.0,15.9,,,,
2020-05-18 07:06:00,9845.0,9858.2,9843.2,9858.2,2277.0,22.77,,,,
2020-05-18 07:07:00,9858.2,9862.0,9852.3,9862.0,2975.0,29.75,,,,
2020-05-18 07:08:00,9862.0,9872.7,9861.3,9871.6,7663.0,76.63,,,,
2020-05-18 07:09:00,9871.6,9873.2,9863.9,9870.1,3196.0,31.96,,,,
2020-05-18 07:10:00,9870.4,9883.5,9870.4,9877.2,2196.0,21.96,,,,
2020-05-18 07:11:00,9876.9,9880.0,9870.9,9872.5,2667.0,26.67,,,,
2020-05-18 07:12:00,9874.0,9885.0,9874.0,9884.6,2966.0,29.66,,,,
2020-05-18 07:13:00,9884.6,9884.6,9870.0,9872.1,1306.0,13.06,,,,
2020-05-18 07:14:00,9872.2,9880.0,9872.2,9879.6,293.0,2.93,,,,
2020-05-18 07:15:00,9879.8,9892.9,9879.8,9890.0,3018.0,30.18,,,,
2020-05-18 07:16:00,9890.0,9891.2,9880.0,9880.0,4655.0,46.55,,,,11.9785714286
2020-05-18 07:17:00,9882.6,9884.7,9882.6,9883.6,213.0,2.13,,,,11.4586734694
2020-05-18 07:18:00,9882.6,9882.6,9875.1,9877.0,1390.0,13.9,,,,11.2473396501
2020-05-18 07:19:00,9876.3,9876.3,9871.0,9873.2,1197.0,11.97,,,,10.8725296751
2020-05-18 07:20:00,9874.8,9880.8,9874.8,9880.8,201.0,2.01,,,,10.6387775555
2020-05-18 07:21:00,9880.0,9880.0,9873.3,9877.9,1745.0,17.45,,,,10.4145791587
2020-05-18 07:22:00,9877.9,9877.9,9860.0,9866.0,1802.0,18.02,,,,10.9492520759
2020-05-18 07:23:00,9866.3,9872.7,9860.0,9872.7,3055.0,30.55,,,,11.0743054991
2020-05-18 07:24:00,9872.9,9872.9,9869.4,9869.9,1089.0,10.89,,,,10.5332836777
2020-05-18 07:25:00,9869.9,9879.9,9869.8,9879.9,462.0,4.62,,,,10.5023348436
